timestamp,Hainaut,BrabantWallon,Namur,Liège,Brussels,Antwerpen,WestVlaanderen,OostVlaanderen,VlaamsBrabant,Limburg,Luxembourg
2020-02-07T23:00:00.000Z,1,,,,,,,,,,
2020-02-08T23:00:00.000Z,,,,,,,,,,,
2020-02-09T23:00:00.000Z,,,,,,,,,,,
2020-02-10T23:00:00.000Z,,1,,,,,,,,,
2020-02-11T23:00:00.000Z,,,,,,,,,,,
2020-02-12T23:00:00.000Z,,,,,,,,,,,
2020-02-13T23:00:00.000Z,,,,,,,,,,,
2020-02-14T23:00:00.000Z,,,,,,,,,,,
2020-02-15T23:00:00.000Z,,,,,,,,,,,
2020-02-16T23:00:00.000Z,,,,,,,,,,,
2020-02-17T23:00:00.000Z,,,1,,,,,,,,
2020-02-18T23:00:00.000Z,,,,,,,,,,,
2020-02-19T23:00:00.000Z,1,,,,,,,,,,
2020-02-20T23:00:00.000Z,,,,,,,,,,,
2020-02-21T23:00:00.000Z,,,,1,,,,,,,
2020-02-22T23:00:00.000Z,,,,,,,,,,,
2020-02-23T23:00:00.000Z,1,,,,2,1,,,,,
2020-02-24T23:00:00.000Z,,,,2,3,,,,,,
2020-02-25T23:00:00.000Z,,,,3,,,,,,,
2020-02-26T23:00:00.000Z,1,1,,2,2,1,1,1,,,
2020-02-27T23:00:00.000Z,,,,,2,,,2,,,
2020-02-28T23:00:00.000Z,,2,,1,2,2,1,2,6,,
2020-02-29T23:00:00.000Z,,,,2,6,,,1,6,1,
2020-03-01T23:00:00.000Z,,,,1,4,1,2,1,7,,
2020-03-02T23:00:00.000Z,1,4,1,5,2,5,4,3,6,3,
2020-03-03T23:00:00.000Z,6,1,1,5,5,6,1,3,13,9,
2020-03-04T23:00:00.000Z,10,3,1,6,2,11,14,9,17,8,
2020-03-05T23:00:00.000Z,4,5,5,7,9,10,15,15,16,17,1
2020-03-06T23:00:00.000Z,1,1,,4,5,8,4,1,,3,
2020-03-07T23:00:00.000Z,4,1,2,10,7,9,7,5,6,8,1
2020-03-08T23:00:00.000Z,4,3,2,16,12,8,6,5,14,6,
2020-03-09T23:00:00.000Z,8,3,,10,13,15,3,16,12,12,2
2020-03-10T23:00:00.000Z,13,2,5,19,17,21,11,24,27,22,2
2020-03-11T23:00:00.000Z,28,7,2,24,37,30,22,29,31,24,2
2020-03-12T23:00:00.000Z,63,15,8,30,39,47,24,28,36,30,6
2020-03-13T23:00:00.000Z,35,4,4,21,30,21,19,10,12,11,
2020-03-14T23:00:00.000Z,30,6,1,14,27,24,17,19,27,37,1
2020-03-15T23:00:00.000Z,46,17,,37,60,46,36,38,43,36,5
2020-03-16T23:00:00.000Z,52,18,8,27,25,51,56,39,42,66,2
2020-03-17T23:00:00.000Z,76,25,21,28,58,55,59,55,61,58,15
2020-03-18T23:00:00.000Z,70,25,19,45,55,83,72,61,69,97,43
2020-03-19T23:00:00.000Z,79,20,15,60,69,66,64,73,77,111,2
2020-03-20T23:00:00.000Z,58,14,10,54,44,59,33,40,47,62,6
2020-03-21T23:00:00.000Z,65,23,16,50,60,53,45,44,44,45,11
2020-03-22T23:00:00.000Z,114,30,21,99,111,182,187,139,129,145,36
2020-03-23T23:00:00.000Z,108,29,8,117,122,166,114,155,105,135,15
2020-03-24T23:00:00.000Z,95,17,14,102,131,160,134,130,124,124,11
2020-03-25T23:00:00.000Z,37,13,3,47,19,85,73,55,61,111,17
2020-03-26T23:00:00.000Z,,,,,,,,,,,
2020-03-27T23:00:00.000Z,,,,,,,,,,,
2020-03-28T23:00:00.000Z,,,,,,,,,,,
